Location,Year,Municipality Population-- do not change or edit - click to see definition,Direct Circ,Total Appropriated Municipal Income--Operating,1 Total number of adult programs,2 Total attendance at all adult programs,3 Total number of Young Adult programs,4 Total attendance at YA programs,5 Total number of children's programs,6 Total Attendance at all Children's Programs,7 Total Number of Programs,8 Total Attendance at All Programs,ILL Received,ILL Provided,Visitors,1 Number of public use Internet computers available in the library (including children's area) and its branches and bookmobiles,Number of Users of Public Internet Computers Per Year - IMLS
Boston - Boston Public Library,2014,"636,479","3,713,436","$32,872,934","4,880","64,539",896,"6,479","4,463","115,271","10,239","186,289","6,388","10,352","3,719,485",796,"766,688"
Worcester - Worcester Public Library,2014,"182,669","999,570","$4,792,890",603,"3,657",236,"2,577",638,"12,871","1,477","19,105","69,835","65,817","752,586",163,
Springfield - Springfield City Library,2014,"153,552","561,966","$5,815,675",752,"12,875",342,"4,260","2,264","38,170","3,358","55,305","47,066","92,039","712,817",154,"112,476"
Lowell - Samuel S. Pollard Memorial Library,2014,"108,522","195,774","$1,176,970",103,"1,694",109,"1,403",204,"6,900",416,"9,997","33,535","30,165",,53,"55,900"
Cambridge - Cambridge Public Library,2014,"106,471","1,685,684","$9,196,395","1,269","25,351",63,693,"1,641","60,963","2,973","87,007","216,359","122,585","874,616",111,"203,840"
New Bedford - New Bedford Free Public Library,2014,"94,929","293,492","$2,241,403",330,"1,634",73,462,431,"6,739",834,"8,835","60,891","38,845","283,514",61,"69,368"
Brockton - Brockton Public Library System,2014,"94,094","228,421","$2,119,758",173,"2,656",24,247,190,"4,448",387,"7,351","25,552","34,122","166,284",58,"34,892"
Quincy - Thomas Crane Public Library,2014,"93,027","775,679","$2,822,865",561,"9,676",28,220,429,"14,245","1,028","24,141","82,526","64,815","676,652",88,"186,264"
Lynn - Lynn Public Library,2014,"91,253","151,410","$989,879",109,693,109,"1,053",268,"9,208",486,"10,954","18,136","11,987","318,634",23,"56,576"
Fall River - Fall River Public Library,2014,"88,945","206,114","$1,127,922",64,896,25,394,311,"7,130",400,"8,420",617,42,"209,039",31,"33,228"
Newton - Newton Free Library,2014,"86,307","1,657,764","$5,375,524",442,"13,343",92,"1,974","1,170","27,862","1,704","43,179","159,276","156,245","691,611",43,"43,264"
Lawrence - Lawrence Public Library,2014,"77,326","123,305","$1,014,599",136,"1,500",0,0,349,"10,320",485,"11,820","45,149","4,035",,37,"62,400"
Somerville - Somerville Public Library,2014,"77,104","365,778","$1,947,090",394,"5,521",45,890,297,"10,179",736,"16,590","67,243","45,790","330,322",46,"68,848"
Framingham - Framingham Public Library,2014,"70,068","652,394","$2,801,499",286,"8,871",55,"1,702",613,"18,114",954,"28,687","56,341","65,905","513,793",48,"65,000"
Waltham - Waltham Public Library,2014,"61,918","425,594","$2,395,241",165,"1,514",13,217,175,"5,007",353,"6,738","47,519","64,415","292,834",37,"90,272"
Haverhill - Haverhill Public Library,2014,"61,797","362,456","$1,178,685",74,"1,051",84,708,362,"5,258",520,"7,017","41,735","46,049","331,416",42,"64,948"
Malden - Malden Public Library,2014,"60,374","298,585","$1,333,849",163,"3,702",19,250,241,"14,237",423,"18,189","35,782","30,782","330,786",20,"52,416"
Brookline - Brookline Public Library,2014,"59,115","1,251,190","$3,721,159",331,"6,756",21,280,557,"24,754",909,"31,790","169,502","142,683","678,468",76,"162,760"
Plymouth - Plymouth Public Library,2014,"57,463","363,664","$1,560,814",223,"4,438",33,349,364,"8,972",620,"13,759","53,222","36,522","199,577",21,"34,840"
Medford - Medford Public Library,2014,"57,033","215,593","$1,069,812",104,"2,110",8,69,238,"2,850",350,"5,029","38,420","32,838",0,10,"335,400"
Taunton - Taunton Public Library,2014,"56,055","172,099","$1,199,037",14,560,2,17,154,"6,282",170,"6,859","37,067","35,391",,22,"71,136"
Chicopee - Chicopee Public Library,2014,"55,490","430,007","$1,546,725",485,"12,731",93,"1,004",272,"16,590",850,"30,325","37,464","34,187","250,699",72,"66,456"
Weymouth - Tufts Library,2014,"54,906","321,950","$1,270,829",35,858,75,714,239,"6,045",349,"7,617","52,410","36,090",,11,"9,724"
Revere - Revere Public Library,2014,"53,179","35,621","$544,546",1,5,0,0,139,"2,821",140,"2,826","6,134","2,231",,32,"15,600"
Peabody - Peabody Institute Library,2014,"51,867","241,314","$1,703,955",604,"4,309",296,"6,009",401,"8,821","1,301","19,139","25,649","22,326","287,382",48,"41,236"
Methuen - Nevins Memorial Library,2014,"48,009","231,250","$1,091,089",256,"5,373",58,937,375,"10,337",689,"16,647","40,130","31,319","149,351",24,"35,932"
Barnstable - Sturgis Library,2014,"44,824","74,832","$221,585",91,"1,942",45,421,81,"2,208",217,"4,571","13,773","16,176","65,993",11,"18,460"
Barnstable - Whelden Memorial Library,2014,"44,824","29,933","$99,951",4,28,0,0,74,227,78,255,"8,927","8,927","21,500",3,"3,380"
Barnstable - Hyannis Public Library Association,2014,"44,824","102,278","$445,827",65,949,5,82,285,"4,313",355,"5,344","16,493","15,903","83,436",18,"9,620"
Barnstable - Marstons Mills Public Library,2014,"44,824","79,266","$177,259",286,"2,932",34,239,94,"1,743",414,"4,914","15,026","10,002",,8,"3,744"
Barnstable - Centerville Public Library,2014,"44,824","105,027","$298,850",384,"6,779",13,122,154,"1,963",551,"8,864","22,192","10,704","115,000",16,"20,800"
Barnstable - Osterville Free Library,2014,"44,824","87,173","$232,772",289,"6,984",17,244,275,"7,123",581,"14,351","14,867","16,374","93,194",21,"25,740"
Barnstable - Cotuit Library,2014,"44,824","48,629","$154,734",374,"5,308",3,30,166,"3,033",543,"8,371","11,739","12,357","43,342",9,"10,556"
Pittsfield - Berkshire Athenaeum,2014,"44,168","233,864","$898,216",40,"1,109",0,0,141,"3,517",181,"4,626","34,244","18,568","270,283",30,"39,000"
Attleboro - Attleboro Public Library,2014,"43,837","251,042","$1,033,595",171,"1,493",81,190,273,"5,000",525,"6,683","50,681","25,648","196,945",14,"15,288"
Arlington - Robbins Library,2014,"43,711","697,679","$2,135,679",131,"1,698",75,710,369,"23,852",575,"26,260","83,098","59,445","313,203",41,"47,788"
Everett - Everett Public Libraries,2014,"42,567","116,710","$886,677",6,263,65,706,151,"2,792",222,"3,761","12,869","17,684",,19,"36,296"
Salem - Salem Public Library,2014,"42,219","430,466","$1,207,830",36,394,29,167,396,"9,612",461,"10,173","31,372","33,113","212,467",16,"34,060"
Billerica - Billerica Public Library,2014,"41,454","277,398","$1,395,147",334,723,29,"2,055",330,"12,573",693,"15,351","29,348","38,994","153,847",27,"23,244"
Westfield - Westfield Athenaeum,2014,"41,399","287,850","$839,616",39,"1,672",53,386,304,"6,616",396,"8,674","28,277","22,546","181,201",27,"27,404"
Leominster - Leominster Public Library,2014,"40,989","301,573","$1,290,568",173,"4,119",32,"1,051",259,"11,638",464,"16,808","31,553","41,943","262,393",19,"41,704"
Fitchburg - Fitchburg Public Library,2014,"40,411","129,174","$727,880",163,988,88,466,183,"2,735",434,"4,189","16,270","22,091","235,248",16,"18,252"
Beverly - Beverly Public Library,2014,"40,286","405,124","$1,823,335",69,"2,236",42,784,467,"12,628",578,"15,648","35,631","34,525","242,117",21,"49,712"
Holyoke - Holyoke Public Library,2014,"40,135","70,978","$546,105",9,272,3,13,484,"6,820",496,"7,105","7,328","11,811","69,696",46,"31,928"
