Location,Year,Municipality Population-- do not change or edit - click to see definition,Direct Circ,Total Appropriated Municipal Income--Operating,1 Total number of adult programs,2 Total attendance at all adult programs,3 Total number of Young Adult programs,4 Total attendance at YA programs,5 Total number of children's programs,6 Total Attendance at all Children's Programs,7 Total Number of Programs,8 Total Attendance at All Programs,ILL Received,ILL Provided,Visitors,1 Number of public use Internet computers available in the library (including children's area) and its branches and bookmobiles,Number of Users of Public Internet Computers Per Year - IMLS
Boxborough - Sargent Memorial Library,2016,"5,137","98,989","$371,615",192,"2,061",58,754,232,"4,948",482,"7,763","9,079","13,714","81,506",12,"16,640"
Deerfield - Tilton Library,2016,"5,089","50,844","$157,119",83,800,156,251,239,"2,007",478,"3,058","8,101","6,532",,4,"4,784"
Bolton - Bolton Public Library,2016,"5,075","79,086","$406,718",129,"1,122",48,364,150,"3,605",327,"5,091","7,595","15,055","42,049",9,"1,300"
Carlisle - Gleason Public Library,2016,"5,028","94,195","$594,064",68,"1,271",33,392,139,"2,811",240,"4,474","14,379","23,938","83,825",6,"7,956"
Lenox - Lenox Library Association,2016,"4,983","63,098","$258,383",80,"2,096",0,0,496,"8,497",576,"10,593","7,990","12,915","42,572",8,"4,992"
Eastham - Eastham Public Library,2016,"4,932","48,710","$319,852",66,"1,196",,,143,"3,826",209,"5,022","12,102","9,952",,6,"5,356"
Marion - Elizabeth Taber Memorial Library,2016,"4,919","42,840","$154,253",67,357,1,13,180,"3,341",248,"3,711","11,884","7,326","36,000",5,"2,340"
Paxton - Richards Memorial Library,2016,"4,854","23,499","$168,500",14,202,,,74,"1,648",88,"1,850","3,400","5,950","9,600",4,"1,300"
North Brookfield - Haston Free Public Library,2016,"4,755","25,558","$99,786",99,"1,166",4,65,63,889,166,"2,120","6,374","3,885","24,000",9,"1,924"
Oak Bluffs - Oak Bluffs Public Library,2016,"4,685","116,821","$488,797",285,"4,297",26,238,234,"7,408",545,"11,943","12,542","23,391","64,351",23,"10,400"
