Location,Year,Municipality Population-- do not change or edit - click to see definition,Direct Circ,Total Appropriated Municipal Income--Operating,1 Total number of adult programs,2 Total attendance at all adult programs,3 Total number of Young Adult programs,4 Total attendance at YA programs,5 Total number of children's programs,6 Total Attendance at all Children's Programs,7 Total Number of Programs,8 Total Attendance at All Programs,ILL Received,ILL Provided,Visitors,1 Number of public use Internet computers available in the library (including children's area) and its branches and bookmobiles,Number of Users of Public Internet Computers Per Year - IMLS
Boston - Boston Public Library,2015,"645,966","3,832,733","$33,416,127","5,419","70,386","1,057","7,032","4,589","115,430","11,065","192,848","6,598","9,479","3,484,928",722,"539,344"
Worcester - Worcester Public Library,2015,"182,544","1,002,521","$4,975,107",144,"1,488",117,634,"1,368","16,104","1,629","18,226","64,602","64,328","777,038",197,
Springfield - Springfield City Library,2015,"153,703","560,494","$6,243,746",711,"13,634",453,"5,698","2,823","44,491","3,987","63,823","40,925","88,357","729,083",159,"58,396"
Lowell - Samuel S. Pollard Memorial Library,2015,"108,861","193,707","$1,247,470",255,"4,586",116,"1,670",202,"6,510",573,"12,766","37,698","29,466",,49,"48,776"
Cambridge - Cambridge Public Library,2015,"107,289","1,607,126","$9,249,325",734,"23,394",71,992,"1,578","59,607","2,383","83,993","204,625","123,537","957,477",148,"199,264"
New Bedford - New Bedford Free Public Library,2015,"95,078","267,253","$2,246,156",279,"1,116",70,465,334,"5,578",683,"7,159","66,037","42,458","273,400",61,"72,800"
Brockton - Brockton Public Library System,2015,"94,089","183,539","$2,127,001",158,"2,216",37,272,126,"2,950",321,"5,438","13,956","18,965","164,757",58,"30,108"
Quincy - Thomas Crane Public Library,2015,"93,494","748,607","$3,072,872",543,"8,481",98,685,434,"14,282","1,075","23,448","73,575","54,806","656,920",80,"123,708"
Lynn - Lynn Public Library,2015,"91,589","143,979","$989,879",78,625,279,"3,456",280,"8,948",637,"13,029","15,919","11,241","302,615",23,"44,200"
Fall River - Fall River Public Library,2015,"88,697","179,676","$1,042,782",78,"1,179",4,100,295,"6,472",377,"7,751","38,674","21,780","190,430",31,"28,912"
Newton - Newton Free Library,2015,"87,971","1,658,656","$5,451,484",547,"12,928",155,"2,711","1,426","33,077","2,128","48,716","156,218","147,272","679,079",45,"45,084"
Somerville - Somerville Public Library,2015,"78,804","348,324","$1,964,651",393,"5,871",35,860,318,"8,786",746,"15,517","63,251","38,898","308,966",44,"60,944"
Lawrence - Lawrence Public Library,2015,"77,657","114,192","$973,891",72,"1,210",0,0,712,"12,234",784,"13,444","41,391","3,467",,37,"57,200"
Framingham - Framingham Public Library,2015,"70,441","647,676","$2,928,591",294,"8,810",39,"1,930",503,"18,325",836,"29,065","56,511","71,269","403,574",54,
Waltham - Waltham Public Library,2015,"62,227","414,588","$2,498,814",52,924,25,138,196,"5,237",273,"6,299","45,144","59,535","266,482",37,"67,392"
Haverhill - Haverhill Public Library,2015,"62,088","343,566","$1,200,090",163,"1,096",91,983,381,"5,944",635,"8,023","42,014","49,216","301,554",42,"59,540"
