Location,Year,Municipality Population-- do not change or edit - click to see definition,Direct Circ,Total Appropriated Municipal Income--Operating,1 Total number of adult programs,2 Total attendance at all adult programs,3 Total number of Young Adult programs,4 Total attendance at YA programs,5 Total number of children's programs,6 Total Attendance at all Children's Programs,7 Total Number of Programs,8 Total Attendance at All Programs,ILL Received,ILL Provided,Visitors,1 Number of public use Internet computers available in the library (including children's area) and its branches and bookmobiles,Number of Users of Public Internet Computers Per Year - IMLS
Boston - Boston Public Library,2013,"617,594","3,607,359","$31,177,053","4,737","64,489",997,"9,270","4,373","101,062","10,107","174,821","5,428","12,201","3,762,462",794,"712,660"
Worcester - Worcester Public Library,2013,"181,045","844,197","$4,622,434",349,"1,950",94,"1,258",274,"9,063",717,"12,271","63,412","54,538","531,590",187,"478,296"
Springfield - Springfield City Library,2013,"153,060","469,037","$5,274,630",477,"6,872",164,"1,449","1,432","29,859","2,073","38,180","44,548","87,037","661,455",141,"52,468"
Lowell - Samuel S. Pollard Memorial Library,2013,"106,519","204,897","$1,130,101",100,"1,996",121,204,180,"4,326",401,"6,526","31,587","30,477",,51,"67,184"
Cambridge - Cambridge Public Library,2013,"105,162","1,531,744","$8,756,270",755,"12,972",150,"2,090","1,929","67,554","2,834","82,616","232,896","126,891",0,108,"200,200"
New Bedford - New Bedford Free Public Library,2013,"95,072","258,777","$2,187,220",154,972,66,594,456,"9,111",676,"10,677","51,419","38,563","240,379",61,"55,484"
Brockton - Brockton Public Library System,2013,"93,810","235,219","$2,070,383",118,"8,317",11,214,216,"5,181",345,"13,712","31,600","29,891","160,000",58,"67,652"
Quincy - Thomas Crane Public Library,2013,"92,271","756,554","$2,518,809",463,"8,979",79,544,404,"12,732",946,"22,255","87,389","63,739","659,845",92,"181,272"
Lynn - Lynn Public Library,2013,"90,329","156,570","$939,200",101,"1,119",54,490,272,"6,007",427,"7,616","19,839","14,188","352,028",19,"56,836"
Fall River - Fall River Public Library,2013,"88,857","199,773","$994,370",14,259,0,,296,"7,449",310,"7,708","32,170","22,028","191,222",28,"40,560"
Newton - Newton Free Library,2013,"85,146","1,676,221","$5,339,372",314,"11,379",57,"1,102","1,248","29,503","1,619","41,984","159,855","165,994","714,636",39,"50,596"
Lawrence - Lawrence Public Library,2013,"76,377","104,419","$946,581",94,"1,428",0,0,386,"8,302",480,"9,730","47,166","3,848","211,000",37,"44,668"
Somerville - Somerville Public Library,2013,"75,754","372,021","$1,903,509",238,"3,377",31,480,310,"11,626",579,"15,483","70,012","43,646","344,510",43,"198,380"
Framingham - Framingham Public Library,2013,"68,318","622,214","$2,636,818",261,"8,922",26,"1,547",506,"12,166",793,"22,635","58,624","73,666","516,867",48,"69,836"
Haverhill - Haverhill Public Library,2013,"60,879","381,440","$1,158,888",48,589,152,"1,222",426,"4,646",626,"6,457","51,436","38,278","224,710",42,"60,216"
Waltham - Waltham Public Library,2013,"60,632","462,920","$2,231,015",138,"1,824",16,416,188,"5,101",342,"7,341","50,696","70,436","319,845",37,"99,372"
Malden - Malden Public Library,2013,"59,450","317,878","$1,312,458",87,"1,957",29,"1,146",238,"13,951",354,"17,054","39,452","27,405","169,015",20,"58,760"
Brookline - Brookline Public Library,2013,"58,732","1,302,831","$3,768,980",451,"5,097",23,551,540,"22,957","1,014","28,605","173,868","144,667","680,886",75,"156,000"
Plymouth - Plymouth Public Library,2013,"56,468","389,547","$1,562,579",143,"3,249",15,306,354,"7,843",512,"11,398","53,284","38,619","211,054",37,"8,476"
Medford - Medford Public Library,2013,"56,173","273,685","$1,041,900",94,"1,884",0,0,435,"6,500",529,"2,534","37,142","37,993",,10,"327,600"
Taunton - Taunton Public Library,2013,"55,874","184,179","$1,174,691",11,761,0,0,140,"7,132",151,"7,893","29,658","29,372",,22,"79,560"
Chicopee - Chicopee Public Library,2013,"55,298","436,544","$1,517,442",453,"13,000",124,"1,403",230,"15,598",807,"30,001","36,713","34,323","259,747",78,"55,328"
Weymouth - Tufts Library,2013,"53,743","345,112","$1,178,099",61,"1,417",99,574,208,"6,293",368,"8,284","53,275","37,546",,11,"19,968"
Revere - Revere Public Library,2013,"51,755","36,779","$470,241",2,20,0,0,105,"3,955",107,"3,975","6,856","2,279","36,150",32,"19,084"
Peabody - Peabody Institute Library,2013,"51,251","260,731","$1,634,233",269,"3,450",296,"8,385",444,"9,219","1,009","21,054","27,281","22,828","284,960",36,"41,860"
Methuen - Nevins Memorial Library,2013,"47,255","222,522","$1,077,988",261,"4,685",81,852,304,"8,955",646,"14,492","39,966","29,807","150,340",24,"32,292"
Barnstable - Sturgis Library,2013,"45,193","75,160","$207,442",90,"1,586",21,578,77,"1,303",188,"3,467","13,847","17,362","65,305",11,"20,800"
Barnstable - Whelden Memorial Library,2013,"45,193","28,693","$92,073",3,25,0,0,8,58,11,83,"8,447","8,604","21,000",3,"3,120"
Barnstable - Hyannis Public Library Association,2013,"45,193","97,597","$423,781",63,624,24,144,291,"4,294",378,"5,062","17,690","16,960","76,839",18,"10,088"
Barnstable - Marstons Mills Public Library,2013,"45,193","46,757","$164,516",204,"2,557",23,196,123,"2,041",350,"4,794","14,407","9,320",,8,"2,964"
Barnstable - Centerville Public Library,2013,"45,193","130,183","$274,442",231,"5,128",25,247,147,"2,432",403,"7,807","25,901","15,495","159,866",8,"23,400"
Barnstable - Osterville Free Library,2013,"45,193","87,252","$219,186",217,"6,673",10,113,218,"4,916",445,"11,702","10,246","10,811","72,000",21,"61,152"
Barnstable - Cotuit Library,2013,"45,193","44,716","$144,018",254,"3,548",,,164,"2,503",418,"6,051","12,863","10,484","48,462",5,"36,400"
Pittsfield - Berkshire Athenaeum,2013,"44,737","275,700","$895,223",33,797,0,0,115,"3,524",148,"4,321","35,631","18,675","184,519",23,"38,428"
Attleboro - Attleboro Public Library,2013,"43,593","242,760","$1,004,754",184,"2,090",35,414,172,"4,697",391,"7,201","39,527","21,236","207,311",11,"17,680"
Arlington - Robbins Library,2013,"42,844","671,331","$2,101,015",99,"1,180",44,495,448,"24,609",591,"26,284","80,644","63,666","325,915",35,"44,616"
Everett - Everett Public Libraries,2013,"41,667","125,658","$875,205",6,225,68,600,160,"2,671",234,"3,496","12,915","20,963",,28,"48,516"
Salem - Salem Public Library,2013,"41,340","471,416","$1,183,485",15,124,42,345,337,"9,501",394,"9,970","30,397","34,000","227,546",16,"33,280"
Westfield - Westfield Athenaeum,2013,"41,094","287,113","$823,188",88,"2,071",38,243,310,"7,250",436,"9,564","29,594","26,038","200,450",26,"30,888"
Leominster - Leominster Public Library,2013,"40,759","319,683","$1,221,536",136,"3,854",41,"1,057",246,"10,064",423,"14,975","37,409","41,101","257,928",19,"48,880"
Fitchburg - Fitchburg Public Library,2013,"40,318","122,956","$689,105",120,"1,500",,,222,"6,520",342,"8,020","12,590","22,213",,14,"17,888"
Billerica - Billerica Public Library,2013,"40,243","283,653","$1,335,364",372,"1,012",27,"1,755",423,"13,588",822,"16,355","30,097","35,670","169,770",32,"30,368"
Holyoke - Holyoke Public Library,2013,"39,880","45,641","$528,652",10,221,2,8,339,"3,208",351,"3,437","5,642","13,469","49,575",10,"26,416"
Beverly - Beverly Public Library,2013,"39,502","392,862","$1,723,760",50,"1,391",45,629,449,"9,600",544,"11,620","34,683","34,130","263,488",21,"52,104"
Marlborough - Marlborough Public Library,2013,"38,499","234,939","$857,525",55,"2,230",98,569,247,"4,073",400,"6,872","29,395","18,399","95,000",21,"23,920"
Woburn - Woburn Public Library,2013,"38,120","190,400","$1,062,873",22,593,0,0,77,"4,477",99,"5,070","26,987","30,836","111,840",8,"14,300"
Amherst - Jones Library,2013,"37,819","512,445","$1,690,789",339,"4,709",10,154,149,"4,929",498,"9,792","56,133","45,188","281,659",62,"52,000"
Braintree - Thayer Public Library,2013,"35,744","391,822","$1,356,495",257,"3,442",91,836,360,"5,143",708,"9,421","50,927","47,431","307,411",25,"35,984"
Shrewsbury - Shrewsbury Free Public Library,2013,"35,608","456,470","$1,105,963",342,"5,993",102,"1,792",177,"5,139",621,"12,924","41,743","31,231","266,008",20,"15,808"
Chelsea - Chelsea Public Library,2013,"35,177","64,721","$292,707",5,100,,,30,"2,000",35,"2,100","7,216","3,494",,17,"21,580"
